date,gross,fees,slippage,funding,net
2024-12-15,0.001436936936787102,-0.0,-0.0,9.189699999999999e-05,0.0015288339367871022
2024-12-16,-0.0014288283300227145,-0.00030000000000000003,-0.00018,0.000256588,-0.0016522403300227146
2024-12-17,-0.008977670465768948,-0.0,-0.0,1.7234999999999993e-05,-0.008960435465768947
2024-12-18,0.007437394550993546,-0.0,-0.0,9.320200000000002e-05,0.007530596550993546
2024-12-19,0.003139515448195955,-0.0,-0.0,0.0004687969999999999,0.003608312448195955
2024-12-20,0.012285354284632819,-0.0,-0.0,0.0005954490000000003,0.012880803284632819
2024-12-21,-0.009722638913638936,-0.0,-0.0,0.00020092599999999998,-0.009521712913638935
2024-12-22,0.004983695996487215,-0.0,-0.0,0.000413796,0.005397491996487215
2024-12-23,0.013666166535532657,-0.0003,-0.00017999999999999998,0.00020666199999999998,0.013392828535532657
2024-12-24,-0.02323812131007115,-0.0,-0.0,9.142000000000002e-05,-0.02314670131007115
2024-12-25,0.0036892057454604903,-0.0,-0.0,0.00021549600000000005,0.0039047017454604902
2024-12-26,-0.0057358270254031386,-0.0,-0.0,0.00012608100000000003,-0.0056097460254031385
2024-12-27,-0.020716178933085177,-0.0,-0.0,0.00014728100000000003,-0.020568897933085178
2024-12-28,0.00922553631395977,-0.0,-0.0,8.276700000000003e-05,0.00930830331395977
2024-12-29,0.005260115271523403,-0.0,-0.0,3.0906999999999994e-05,0.005291022271523403
2024-12-30,-0.0017074074411710606,-0.0005,-0.0003,9.212000000000006e-06,-0.00249819544117106
2024-12-31,-0.0005305591561271536,-0.0,-0.0,0.00011336399999999998,-0.00041719515612715366
2025-01-01,-0.014140962181547059,-0.0,-0.0,6.8509e-05,-0.014072453181547059
2025-01-02,-0.009984210113080573,-0.0,-0.0,5.613300000000001e-05,-0.009928077113080573
2025-01-03,0.010366170762321249,-0.0,-0.0,6.291800000000001e-05,0.010429088762321249
2025-01-04,0.006846037816304618,-0.0,-0.0,5.6142000000000006e-05,0.006902179816304618
2025-01-05,-0.002011182108037801,-0.0,-0.0,5.8753e-05,-0.0019524291080378012
2025-01-06,-0.012495185815541598,-0.00039999999999999996,-0.00023999999999999995,0.00010639700000000002,-0.013028788815541599
2025-01-07,0.007773954700042116,-0.0,-0.0,6.3580000000000025e-06,0.007780312700042116
2025-01-08,0.015119487686627036,-0.0,-0.0,4.4680999999999995e-05,0.015164168686627035
2025-01-09,-0.009645440933132046,-0.0,-0.0,9.657300000000003e-05,-0.009548867933132045
2025-01-10,0.005183218326278883,-0.0,-0.0,0.00021769,0.0054009083262788835
2025-01-11,0.013480389416908935,-0.0,-0.0,0.000146602,0.013626991416908934
2025-01-12,-0.006629003522984056,-0.0,-0.0,-2.6430999999999998e-05,-0.006655434522984056
2025-01-13,0.010340021065810038,-0.0005,-0.0003,1.4985999999999995e-05,0.009555007065810037
2025-01-14,-0.00993288231537184,-0.0,-0.0,-5.386000000000001e-05,-0.00998674231537184
